ITEM, Dealer Price , Sale Price 
Solar Panel 400w High V, $75.00 , $100.00 
Solar Panel 440w, $50.00 , $70.00 
Solar Panel 450w, $55.00 , $75.00 
Solar Panel 550w, $70.00 , $100.00 
Solar Panel 650w, $80.00 , $110.00 
SUMRY Inverter 1.0KW, $110.00 , $140.00 
SUMRY Inverter 2.0KW, $150.00 , $180.00 
SUMRY Inverter 3.2KW, $160.00 , $200.00 
SUMRY Inverter 6.2KW, $300.00 , $400.00 
SUMRY Inverter 10.2KW, $600.00 , $800.00 
Polaris 12V100AH Eco, $180.00 , $200.00 
Polaris 12V100AH, $240.00 , $300.00 
Polaris 24V100AH, $320.00 , $400.00 
Polaris 48V100AH Wall, $600.00 , $800.00 
Polaris 24V200AH Wall, $320.00 , $500.00 
Polaris 48V200AH Wall, $650.00 , $800.00 
Polaris 48V100AH Wall, $600.00 , $800.00 
Polaris 48V200AH Wall," $1,250.00 "," $1,400.00 "
Rails 6M, $14.00 , $25.00 
Clip, $0.80 , $2.00 
Hook, $2.00 , $3.00 
DB box 9WAY, $6.00 , $10.00 
DB box 12WAY, $8.00 , $15.00 
Changeover Switch, $6.00 , $10.00 
Auto Switch, $30.00 , $60.00 
SPD, $8.00 , $10.00 
AC C10, $2.00 , $5.00 
AC C16, $2.00 , $5.00 
AC C32, $2.00 , $5.00 
DEYE Battery 5.12Kwh SE-G5.1 Pro-B, $850.00 ," $1,200.00 "
DEYE Battery 10.2Kwh RW-G10.6," $1,600.00 "," $2,000.00 "
DEYE Inverter 3.6K SUN-3.6K-030LPI-EU-AM2, $400.00 , $550.00 
DEYE Inverter 6K SUN-6K-030LPI-EU-AM2, $520.00 , $600.00 
DEYE Inverter 6K SUN-6K-SG04LPI-EU-SM2, $900.00 ," $1,000.00 "
DEYE Inverter 12K SUN-12K-SG02LPI-EU-AM3," $2,050.00 "," $2,200.00 "
DEYE Inverter 12K SUN-12K-SG04LP3-EU," $2,100.00 "," $2,200.00 "
DEYE Inverter 20K SUN-20K-SG05LP3-EU-SM2," $3,100.00 "," $3,500.00 "
